,dt,sstlat,sstval,tid,clat,clon,psamb,dp [hPa],rmw_target,rmw_final,rp
601,0007-11-01 00:00:00,10.0,308.13,4095128,19.764857,237.75522548842693,101938.5925478324,1554.2698961937717,,,125552.94117647059
602,0007-11-03 00:00:00,10.0,308.07,4099053,18.011069,8.606650008432752,101970.01762968437,997.1487889273357,,,229082.35294117648
603,0007-11-04 00:00:00,10.0,308.04,4100746,18.571518,84.08710348554403,102005.47719215773,809.3010380622837,,,215623.52941176473
604,0007-11-05 00:00:00,9.5,308.04,4102047,13.627695,88.8325730534365,101726.88705668194,809.3010380622837,,,306729.4117647059
605,0007-11-06 00:00:00,9.5,308.03,4109054,17.372662,190.24667833408378,102000.72715551054,2153.1349480968856,,,73270.58823529411
606,0007-11-07 00:00:00,9.0,308.02,4110019,14.502716,343.40684857916153,101575.25076790561,1533.3979238754325,,,267905.8823529412
607,0007-11-08 00:00:00,9.0,308.0,4111882,9.965084,289.84675680097627,101641.23896731516,697.7162629757787,,,138494.11764705883
608,0007-11-10 00:00:00,9.0,307.98,4115568,18.381105,228.14444059311995,102031.14993142014,509.86851211072667,,,301187.5432525952
609,0007-11-11 00:00:00,9.0,308.03,4123651,8.934855,254.562666184244,101414.15251951024,725.8131487889273,,,189741.17647058825
610,0007-11-14 00:00:00,9.0,307.97,4126630,9.423838,24.73325641152999,101625.83212003432,913.6608996539792,,,254964.70588235295
611,0007-11-15 00:00:00,9.0,307.95,4127615,16.508231,103.64016056809221,101744.41499931637,830.1730103806228,,,73270.58823529411
612,0007-11-24 00:00:00,8.5,307.78,4139737,11.928229,123.81814423767962,101673.15671092359,934.5328719723184,,,293270.5882352941
613,0007-11-25 00:00:00,8.5,307.75,4140742,9.539497,329.64790931071434,101799.37008915028,593.3564013840831,,,177317.64705882352
614,0007-11-26 00:00:00,8.5,307.72,4141691,13.682086,224.05841366814485,101596.77408599237,1296.5813148788927,,,267905.8823529412
615,0007-11-27 00:00:00,8.5,307.71,4142846,9.146211,312.33925303602814,101660.98948019631,788.4290657439446,,,229082.35294117648
616,0007-11-28 00:00:00,8.5,307.69,4145184,13.536001,148.99763244614428,101904.84037158701,488.9965397923876,,,120011.07266435986
617,0007-11-29 00:00:00,8.5,307.68,4147270,14.713957,145.25761570168308,101874.73471697167,830.1730103806228,,,216141.17647058822
